
Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2015-09-15","0","10,357","6.04","6","0","0","0","0","0"
"2015-09-16","0","16,590","9.75","14","0","0","0","0","0"
"2015-09-17","0","9,269","5.55","4","0","0","0","0","0"
"2015-09-18","0","10,300","5.97","10","0","0","0","0","0"
"2015-09-19","0","16,789","9.33","12","0","0","0","0","0"
"2015-09-20","0","11,637","6.43","13","0","0","0","0","0"
"2015-09-25","0","12,753","6.88","10","0","0","0","0","0"
"2015-09-21","0","8,727","4.95","11","0","0","0","0","0"
"2015-09-22","0","13,615","7.66","5","0","0","0","0","0"
"2015-09-23","0","5,812","3.03","7","0","0","0","0","0"
"2015-09-24","0","6,551","3.4","7","0","0","0","0","0"
"2015-09-26","0","9,257","4.74","8","0","0","0","0","0"
"2015-09-27","0","6,270","3.37","6","0","0","0","0","0"
"2015-09-28","0","4,791","2.58","11","0","0","0","0","0"
"2015-09-29","0","11,518","6.2","7","0","0","0","0","0"
"2015-09-30","0","14,380","7.64","12","0","0","0","0","0"
"2015-10-01","0","12,188","6.55","9","0","0","0","0","0"
"2015-10-02","0","6,616","3.41","4","0","0","0","0","0"
"2015-10-03","0","14,271","7.54","16","0","0","0","0","0"
"2015-10-04","0","10,218","5.3","14","0","0","0","0","0"
"2015-10-05","0","15,315","8.14","8","0","0","0","0","0"
"2015-10-06","0","11,771","6.37","6","0","0","0","0","0"
"2015-10-07","0","6,765","3.63","7","0","0","0","0","0"
"2015-10-08","0","15,728","8.53","8","0","0","0","0","0"
"2015-10-09","0","8,626","4.6","6","0","0","0","0","0"
"2015-10-10","0","7,617","3.89","6","0","0","0","0","0"
"2015-10-11","0","27,966","15.17","33","0","0","0","0","0"
"2015-10-12","0","15,011","7.91","15","0","0","0","0","0"
"2015-10-13","0","16,334","8.59","11","0","0","0","0","0"
"2015-10-14","0","14,352","7.72","12","0","0","0","0","0"
"2015-10-15","0","8,618","4.62","8","0","0","0","0","0"
"2015-10-16","0","11,249","5.79","9","0","0","0","0","0"
"2015-10-17","0","9,121","4.88","6","0","0","0","0","0"
"2015-10-18","0","12,100","6.18","13","0","0","0","0","0"
"2015-10-19","0","14,422","7.82","10","0","0","0","0","0"
"2015-10-20","0","22,059","11.52","12","0","0","0","0","0"
"2015-10-21","0","11,782","6.18","9","0","0","0","0","0"
"2015-10-22","0","23,857","12.88","17","0","0","0","0","0"
"2015-10-23","0","24,221","12.48","6","0","0","0","0","0"
"2015-10-24","0","9,999","4.96","3","0","0","0","0","0"
"2015-10-25","0","12,356","6.32","3","0","0","0","0","0"
"2015-10-26","0","10,119","5.39","6","0","0","0","0","0"
"2015-10-27","0","18,390","9.84","12","0","0","0","0","0"
"2015-10-28","0","15,764","8.45","9","0","0","0","0","0"
"2015-10-30","0","17,484","8.84","12","0","0","0","0","0"
"2015-10-29","0","12,514","6.66","9","0","0","0","0","0"
"2015-10-31","0","19,661","9.97","12","0","0","0","0","0"
"2015-11-01","0","9,987","5.23","13","0","0","0","0","0"
"2015-11-02","0","16,065","8.45","12","0","0","0","0","0"
"2015-11-03","0","7,990","4.22","8","0","0","0","0","0"
"2015-11-04","0","18,364","9.21","9","0","0","0","0","0"
"2015-11-05","0","16,200","8.84","7","0","0","0","0","0"
"2015-11-06","0","8,432","4.37","8","0","0","0","0","0"
"2015-11-07","0","31,175","16.67","24","0","0","0","0","0"
"2015-11-08","0","8,937","4.64","9","0","0","0","0","0"
"2015-11-09","0","9,227","4.83","13","0","0","0","0","0"
"2015-11-10","0","9,442","4.78","11","0","0","0","0","0"
"2015-11-11","0","15,960","7.73","7","0","0","0","0","0"
"2015-11-12","0","10,283","5.49","7","0","0","0","0","0"
"2015-11-13","0","8,522","4.59","7","0","0","0","0","0"
"2015-11-14","0","17,899","9.38","13","0","0","0","0","0"
"2015-11-15","0","7,889","4.15","10","0","0","0","0","0"
"2015-11-16","0","16,077","8.32","10","0","0","0","0","0"
"2015-11-17","0","13,854","7.24","8","0","0","0","0","0"
"2015-11-18","0","13,243","6.82","6","0","0","0","0","0"
"2016-02-10","0","3,443","1.66","3","0","0","0","0","0"
"2016-02-11","0","16,872","8.23","2","0","0","0","0","0"
"2016-02-12","0","9,149","4.48","8","0","0","0","0","0"
"2015-11-19","0","468","0.24","0","0","0","0","0","0"
"2016-02-13","0","10,484","2.63","0","0","0","0","0","0"
"2016-02-14","0","12,905","3.8","0","0","0","0","0","0"
"2016-02-15","0","6,688","3.64","0","0","0","0","0","0"
"2016-02-16","0","8,713","4.69","0","0","0","0","0","0"
"2016-02-17","0","6,179","3.38","0","0","0","0","0","0"
"2016-02-18","0","6,475","3.55","0","0","0","0","0","0"
"2016-02-19","0","6,492","3.52","0","0","0","0","0","0"
"2016-02-20","0","6,745","3.64","0","0","0","0","0","0"
"2016-02-21","0","3,711","1.98","0","0","0","0","0","0"
"2016-02-22","0","10,846","5.88","0","0","0","0","0","0"
"2016-02-23","0","6,399","3.5","0","0","0","0","0","0"
"2016-02-24","0","3,189","1.74","0","0","0","0","0","0"
"2016-02-25","0","6,140","3.35","0","0","0","0","0","0"
"2016-02-26","0","7,899","4.18","0","0","0","0","0","0"
"2016-02-27","0","5,863","3.15","0","0","0","0","0","0"
"2016-02-28","0","3,239","1.71","0","0","0","0","0","0"
"2019-03-28","0","15,290","7.38","1","0","0","0","0","0"
"2019-03-29","0","18,204","8.8","0","0","0","0","0","0"
"2019-03-31","0","17,342","8.41","4","0","0","0","0","0"
"2019-04-01","0","15,569","7.44","2","0","0","0","0","0"
"2019-03-30","0","17,092","8.15","3","0","0","0","0","0"
"2019-04-02","0","15,194","7.37","1","0","0","0","0","0"
"2019-04-03","0","19,004","9.03","0","0","0","0","0","0"
"2016-02-29","0","6,729","3.47","0","0","0","0","0","0"
"2016-03-01","0","5,954","3.19","0","0","0","0","0","0"
"2019-04-04","0","18,150","8.44","8","0","0","0","0","0"
"2019-04-05","0","18,321","8.75","0","0","0","0","0","0"
"2016-03-02","0","7,240","3.84","0","0","0","0","0","0"
"2016-03-03","0","5,255","2.85","0","0","0","0","0","0"
"2016-03-04","0","5,014","2.65","0","0","0","0","0","0"
"2016-03-05","0","5,586","3.08","0","0","0","0","0","0"
"2016-03-06","0","4,952","2.72","0","0","0","0","0","0"
"2016-03-07","0","8,575","4.68","0","0","0","0","0","0"
"2016-03-08","0","8,612","4.7","0","0","0","0","0","0"
"2016-03-09","0","4,014","2.15","0","0","0","0","0","0"
"2016-03-10","0","3,575","1.92","0","0","0","0","0","0"
"2016-03-11","0","4,632","2.47","0","0","0","0","0","0"
"2016-03-12","0","5,156","2.81","0","0","0","0","0","0"
"2016-03-13","0","5,065","2.67","0","0","0","0","0","0"
"2016-03-14","0","6,720","3.58","0","0","0","0","0","0"
"2016-03-15","0","6,430","3.42","0","0","0","0","0","0"
"2016-03-16","0","8,400","4.61","0","0","0","0","0","0"
"2016-03-17","0","6,446","3.55","0","0","0","0","0","0"
"2016-03-18","0","4,697","2.57","0","0","0","0","0","0"
"2016-03-19","0","5,434","2.97","0","0","0","0","0","0"
"2016-03-20","0","4,459","2.48","0","0","0","0","0","0"
"2016-03-21","0","10,351","5.64","0","0","0","0","0","0"
"2016-03-22","0","6,784","3.75","0","0","0","0","0","0"
"2016-03-23","0","6,115","3.34","0","0","0","0","0","0"
"2016-03-24","0","5,197","2.88","0","0","0","0","0","0"
"2016-03-25","0","7,084","3.83","0","0","0","0","0","0"
"2016-03-26","0","2,664","1.46","0","0","0","0","0","0"
"2016-03-27","0","4,294","2.32","0","0","0","0","0","0"
"2016-03-28","0","9,527","5.17","0","0","0","0","0","0"
"2016-03-29","0","4,410","2.4","0","0","0","0","0","0"
"2016-03-30","0","6,047","3.27","0","0","0","0","0","0"
"2016-03-31","0","3,605","1.95","0","0","0","0","0","0"
"2016-04-01","0","7,409","3.97","0","0","0","0","0","0"
"2016-04-02","0","4,369","2.37","0","0","0","0","0","0"
"2016-04-03","0","6,208","3.32","0","0","0","0","0","0"
"2016-04-04","0","5,821","3.09","0","0","0","0","0","0"
"2016-04-05","0","10,227","5.51","0","0","0","0","0","0"
"2016-04-06","0","8,018","4.19","0","0","0","0","0","0"
"2016-04-07","0","6,695","3.63","0","0","0","0","0","0"
"2016-04-08","0","8,140","4.45","0","0","0","0","0","0"
"2016-04-09","0","5,980","3.23","0","0","0","0","0","0"
"2016-04-10","0","9,208","4.88","0","0","0","0","0","0"
"2016-04-11","0","7,423","4.15","0","0","0","0","0","0"
"2016-04-12","0","10,881","5.99","0","0","0","0","0","0"
"2016-04-13","0","3,693","2.02","0","0","0","0","0","0"
"2016-04-14","0","6,167","3.35","0","0","0","0","0","0"
"2016-04-15","0","5,728","3.09","0","0","0","0","0","0"
"2016-04-16","0","10,840","5.74","0","0","0","0","0","0"
"2016-04-17","0","5,456","2.98","0","0","0","0","0","0"
"2016-04-18","0","4,425","2.37","0","0","0","0","0","0"
"2016-04-19","0","7,707","4.18","0","0","0","0","0","0"
"2016-04-20","0","4,361","2.35","0","0","0","0","0","0"
"2016-04-21","0","7,608","4.13","0","0","0","0","0","0"
"2016-04-22","0","5,299","2.86","0","0","0","0","0","0"
"2016-04-23","0","5,471","2.96","0","0","0","0","0","0"
"2016-04-24","0","2,644","1.42","0","0","0","0","0","0"
"2016-04-25","0","7,019","3.89","0","0","0","0","0","0"
"2016-04-26","0","5,656","3.15","0","0","0","0","0","0"
"2016-04-27","0","5,604","3.08","0","0","0","0","0","0"
